Guide	Gene	AP2_i10	BR1_i12	BR3_i25	BR4_i14	m1_aav_i15
Myo1d_-_80779919.23-P1P2	Myo1d	256	214	92	244	295
Cacnb2_-_14873743.23-ENSMUST00000114719.1	Cacnb2	1107	1197	858	1126	1763
Dhps_-_85071815.23-P1P2	Dhps	1919	1389	1766	2401	3370
Ptpn12_+_21055674.23-P1P2	Ptpn12	2050	1949	1663	2226	3561
Eno3_+_70657222.23-P1P2	Eno3	1360	1306	1283	1642	2998
Akap5_+_76324936.23-P1P2	Akap5	2618	3045	2769	2807	4817
Map2k4_-_65788249.23-P1P2	Map2k4	2643	2655	2244	2553	4127
Cel_+_28563357.23-P1P2	Cel	2375	2693	1978	2924	4765
Acss2_-_155518081.23-P1P2	Acss2	3211	3666	3346	3049	4972
Clcnkb_+_141415970.23-P1P2	Clcnkb	528	484	594	516	895
Adora2b_+_62249063.23-P1P2	Adora2b	1211	1155	1359	1449	2204
Chrna6_+_27413905.23-P1P2	Chrna6	2445	2557	2104	2284	4197
Ces1g_+_93337101.23-P1P2	Ces1g	1431	1451	1244	1326	2174
Dhcr7_-_143823132.23-P2	Dhcr7_P2	517	485	513	550	959
Mgat1_+_49250624.23-P1P2	Mgat1	252	425	323	268	386
Sorcs3_-_48206177.23-P1P2	Sorcs3	2080	2397	2208	2118	3823
Ffar1_-_30861409.23-ENSMUST00000052700.3	Ffar1	1460	1445	1088	1235	2731
Ppp2r1a_-_20945508.23-P1P2	Ppp2r1a	1189	1094	1007	946	2452
Sbf1_+_89315215.23-P1P2	Sbf1	2233	2809	1932	2640	4187
Aatk_+_120017032.23-P1	Aatk_P1	264	136	252	278	363
Scnn1g_-_121734515.23-P1P2	Scnn1g	3995	3482	3364	3866	6806
Map3k2_-_32163116.23-P1P2	Map3k2	2806	2066	2707	2369	4123
Proc_-_32138130.23-P1P2	Proc	2737	2615	2277	2572	4131
Hspb8_+_116422850.23-P1P2	Hspb8	1713	1712	1334	2016	3110
Prkra_-_76648007.23-P1P2	Prkra	1328	855	1001	1437	2244
Camk1g_+_193370198.23-P1P2	Camk1g	1665	1942	1711	1555	2705
Dusp13_+_21742855.23-P2	Dusp13_P2	1549	2218	1673	1649	3021
Epha4_+_77515022.23-P1P2	Epha4	1203	1812	1453	1567	2118
Plod3_-_136987660.23-P1P2	Plod3	2431	2943	2572	2783	4770
