gene	fold_change	log_fold_change	score_low	pvalue_low	fdr_low	score_high	pvalue_high	fdr_high	pvalue	fdr	phenotype_score
LIPA	1.033714789406295e0	4.78381888750861e-2	1e0	1e0	1e0	1.3495257822044626e-1	2.7174246118920503e-1	1e0	2.7174246118920503e-1	1e0	2.706888017242378e-2
NMNAT3	1.0061022885174689e0	8.776988677235998e-3	1e0	1e0	1e0	1e0	1e0	1e0	1e0	1e0	-0e0
FGFR2	1.0337807857784842e0	4.7930293196903395e-2	6.734919587413218e-1	7.130137547960518e-1	1e0	2.6977657798094423e-1	4.081984972011342e-1	1e0	4.081984972011342e-1	1e0	1.8651047816890705e-2
CACNA1S	9.852043522566106e-1	-2.1505093760638895e-2	7.917882155484285e-2	1.7733199252484882e-1	9.766934590821391e-1	4.609948179837603e-1	5.863159848252705e-1	1e0	1.7733199252484882e-1	9.766934590821391e-1	-1.61549039802252e-2
PLOD3	9.67873510669033e-1	-4.710957781550383e-2	1.0302192054091595e-3	3.603782461016569e-3	2.982129986491211e-1	2.81356358436999e-1	4.199852395975848e-1	1e0	3.603782461016569e-3	2.982129986491211e-1	-1.1510007239514052e-1
KCNH6	9.534190269702676e-1	-6.881767795287949e-2	1.9821945251052343e-2	6.1165035973086e-2	9.727408997617026e-1	1e0	1e0	1e0	6.1165035973086e-2	9.727408997617026e-1	-8.351002953674083e-2
GAD2	9.881003367837554e-1	-1.727054697367309e-2	2.2900839426512673e-1	4.1230292489026804e-1	1e0	1e0	1e0	1e0	4.1230292489026804e-1	1e0	-6.645422967155076e-3
ROR1	9.983720982377864e-1	-2.3504794937546742e-3	1e0	1e0	1e0	1e0	1e0	1e0	1e0	1e0	0e0
PAEP	9.689267056219387e-1	-4.554055766295452e-2	7.03806951861972e-3	2.44884571063569e-2	7.395148805978291e-1	3.8396396804899086e-1	5.239122835033081e-1	1e0	2.44884571063569e-2	7.395148805978291e-1	-7.336759519985318e-2
TNIK	1.020515450931539e0	2.9298025402049416e-2	1e0	1e0	1e0	4.2075251715452505e-1	5.629065045036491e-1	1e0	5.629065045036491e-1	1e0	7.311724587289861e-3
CLK1	9.741181520554681e-1	-3.783132561200565e-2	2.1817092689970463e-1	3.7115506622759503e-1	1e0	1e0	1e0	1e0	3.7115506622759503e-1	1e0	-1.628429008523012e-2
SCNN1G	9.997003568577265e-1	-4.3235845525286913e-4	3.8046665809230124e-1	5.271448979503757e-1	1e0	2.2495920356782007e-1	3.630713721563567e-1	1e0	3.630713721563567e-1	1e0	-1.902411763501786e-4
PTPN23	1.0017772144020527e0	2.561702730605677e-3	6.905251870069482e-1	7.232251910867886e-1	1e0	5.15448602966086e-1	6.112619280883552e-1	1e0	6.112619280883552e-1	1e0	5.476219889644103e-4
PLK2	1.0141236790155173e0	2.0233609167176984e-2	3.892036007452337e-1	6.333895839897109e-1	1e0	7.003511082957695e-2	2.0325333080133448e-1	1e0	2.0325333080133448e-1	1e0	1.4000895317360476e-2
ADRBK1	9.98416005910452e-1	-2.2870322191137155e-3	4.591629209913539e-2	1.1822132834989922e-1	9.766934590821391e-1	2.2367448984568772e-1	3.6137090474361355e-1	1e0	1.1822132834989922e-1	9.766934590821391e-1	-2.1207745026658323e-3
F5	9.80597798143164e-1	-2.8266572720733806e-2	2.2434404303334363e-1	3.7671827052969126e-1	1e0	7.510821923257821e-1	7.558491331500511e-1	1e0	3.7671827052969126e-1	1e0	-1.1984555244178479e-2
ACCS	9.913448468058322e-1	-1.2541097782854994e-2	7.228648029909832e-1	7.439847044250996e-1	1e0	1e0	1e0	1e0	7.439847044250996e-1	1e0	-1.610728347285838e-3
PKM	9.646086933828625e-1	-5.198428266871905e-2	2.0913488914880974e-2	7.825171233615738e-2	9.766934590821391e-1	4.3160699193001534e-1	6.525608435008913e-1	1e0	7.825171233615738e-2	9.766934590821391e-1	-5.7520928490157816e-2
TNNC1	9.702959802186325e-1	-4.350319907284687e-2	1.0472076209974604e-1	2.209097069067462e-1	9.999147782931771e-1	1e0	1e0	1e0	2.209097069067462e-1	9.999147782931771e-1	-2.8528754128374124e-2
CLPB	9.661794324063494e-1	-4.9636953234315925e-2	3.196755007720278e-2	9.35041281651784e-2	9.766934590821391e-1	6.946338507144659e-1	7.133676591814451e-1	1e0	9.35041281651784e-2	9.766934590821391e-1	-5.1084824185139946e-2
PHKG1	1.0046268222077357e0	6.659698686496926e-3	5.842374931981233e-1	6.672651391232666e-1	1e0	5.514916571613733e-1	6.28991674615129e-1	1e0	6.28991674615129e-1	1e0	1.3409643141275e-3
ALDH3A1	9.999899512401278e-1	-1.4497368875126093e-5	1.997308987814118e-1	3.5260529734442236e-1	1e0	1.3614777476137094e-1	2.7315376282363907e-1	1e0	2.7315376282363907e-1	1e0	-8.170612898097157e-6
CASR	9.913894654507713e-1	-1.2476166140327028e-2	3.593147157503453e-1	5.061609574408397e-1	1e0	7.357198710669435e-1	7.438336476752366e-1	1e0	5.061609574408397e-1	1e0	-3.6893440201128877e-3
DGKE	1.0032546699648528e0	4.6878716120061555e-3	7.124473426547124e-1	7.373036801740174e-1	1e0	7.1021480169169e-1	7.243559587571914e-1	1e0	7.243559587571914e-1	1e0	6.565268695978026e-4
CALR	1.0579638694265479e0	8.129035874758878e-2	6.739536499022308e-1	7.135618750026974e-1	1e0	7.397087204329067e-3	2.4376243520744408e-2	6.068058917091149e-1	2.4376243520744408e-2	6.068058917091149e-1	1.3112404913573372e-1
TUBA3C	1.00020143191077e0	2.905755541324306e-4	6.88009144867357e-1	7.216628327024915e-1	1e0	4.041280966068802e-1	5.449695944342061e-1	1e0	5.449695944342061e-1	1e0	7.660377306138883e-5
TBCK	9.927072145991562e-1	-1.0559817546879331e-2	9.982714982033472e-2	2.1347771481348807e-1	9.92366234949284e-1	1.6280679966654893e-1	3.008748343770635e-1	1e0	2.1347771481348807e-1	9.92366234949284e-1	-7.081914760734359e-3
RAB8B	1.0296523190894604e0	4.215726730878545e-2	3.12707833014447e-2	9.123396101009491e-2	9.766934590821391e-1	6.732121855614095e-2	1.5433252338142692e-1	1e0	9.123396101009491e-2	9.766934590821391e-1	4.3836959099405534e-2
